=========================================================================================================================================================
Profit/loss report for SP500 W1; transaction every BUY/SELL signal (at least W1 apart, if bought, need to be sold).
Buy date: 2019-10-27 | Buy price: 2986.20    | Sell date: 2020-02-23 | Sell price: 3380.16    | Profit: 393960.00  13.193 % | Duration: 119 days 00:00:00
Buy date: 2020-05-10 | Buy price: 2830.71    | Sell date: 2020-09-20 | Sell price: 3340.97    | Profit: 510260.00  18.026 % | Duration: 133 days 00:00:00
Buy date: 2020-12-06 | Buy price: 3638.35    | Sell date: 2021-01-31 | Sell price: 3841.47    | Profit: 203120.00  5.583  % | Duration: 56 days 00:00:00
Buy date: 2021-02-07 | Buy price: 3714.24    | Sell date: 2021-02-28 | Sell price: 3906.71    | Profit: 192470.00  5.182  % | Duration: 21 days 00:00:00
Buy date: 2021-04-11 | Buy price: 4019.87    | Sell date: 2021-05-23 | Sell price: 4173.85    | Profit: 153980.00  3.830  % | Duration: 42 days 00:00:00
Buy date: 2021-08-15 | Buy price: 4436.52    | Sell date: 2021-08-22 | Sell price: 4468.00    | Profit: 31480.00   0.710  % | Duration: 7 days 00:00:00
Buy date: 2021-08-29 | Buy price: 4441.67    | Sell date: 2021-09-12 | Sell price: 4535.43    | Profit: 93760.00   2.111  % | Duration: 14 days 00:00:00
Buy date: 2021-11-07 | Buy price: 4605.38    | Sell date: 2021-12-05 | Sell price: 4594.62    | Profit: -10760.00  -0.234 % | Duration: 28 days 00:00:00
Buy date: 2021-12-12 | Buy price: 4538.43    | Sell date: 2021-12-19 | Sell price: 4712.02    | Profit: 173590.00  3.825  % | Duration: 7 days 00:00:00
Buy date: 2021-12-26 | Buy price: 4620.64    | Sell date: 2022-01-16 | Sell price: 4677.03    | Profit: 56390.00   1.220  % | Duration: 21 days 00:00:00
Buy date: 2022-04-03 | Buy price: 4543.06    | Sell date: 2022-04-24 | Sell price: 4392.59    | Profit: -150470.00 -3.312 % | Duration: 21 days 00:00:00
Buy date: 2022-07-24 | Buy price: 3863.16    | Sell date: 2022-09-25 | Sell price: 3873.33    | Profit: 10170.00   0.263  % | Duration: 63 days 00:00:00
Buy date: 2022-11-13 | Buy price: 3770.55    | Sell date: 2023-03-12 | Sell price: 4045.64    | Profit: 275090.00  7.296  % | Duration: 119 days 00:00:00
Buy date: 2023-04-16 | Buy price: 4105.02    | Sell date: 2023-08-20 | Sell price: 4464.05    | Profit: 359030.00  8.746  % | Duration: 126 days 00:00:00
=========================================================================================================================================================
Total earnings: 5031620.0 generated using 1241480 units of borrowed capital, which needs to be returned
Return on Investment ROI: 305.292%


