=========================================================================================================================================================
Profit/loss report for WIG20 W1; transaction every BUY/SELL signal (at least W1 apart, if bought, need to be sold).
Buy date: 2018-06-10 | Buy price: 2190.26    | Sell date: 2018-10-14 | Sell price: 2264.20    | Profit: 73940.00   3.376  % | Duration: 126 days 00:00:00
Buy date: 2018-12-02 | Buy price: 2225.39    | Sell date: 2019-03-10 | Sell price: 2333.11    | Profit: 107720.00  4.840  % | Duration: 98 days 00:00:00
Buy date: 2019-06-30 | Buy price: 2308.32    | Sell date: 2019-08-11 | Sell price: 2216.51    | Profit: -91810.00  -3.977 % | Duration: 42 days 00:00:00
Buy date: 2019-10-13 | Buy price: 2121.16    | Sell date: 2019-12-15 | Sell price: 2073.11    | Profit: -48050.00  -2.265 % | Duration: 63 days 00:00:00
Buy date: 2020-01-05 | Buy price: 2151.74    | Sell date: 2020-02-02 | Sell price: 2154.28    | Profit: 2540.00    0.118  % | Duration: 28 days 00:00:00
Buy date: 2020-05-03 | Buy price: 1601.91    | Sell date: 2020-09-06 | Sell price: 1829.79    | Profit: 227880.00  14.226 % | Duration: 126 days 00:00:00
Buy date: 2020-11-22 | Buy price: 1749.41    | Sell date: 2021-02-14 | Sell price: 1957.73    | Profit: 208320.00  11.908 % | Duration: 84 days 00:00:00
Buy date: 2021-05-09 | Buy price: 2037.59    | Sell date: 2021-08-01 | Sell price: 2242.41    | Profit: 204820.00  10.052 % | Duration: 84 days 00:00:00
Buy date: 2022-01-16 | Buy price: 2311.93    | Sell date: 2022-01-30 | Sell price: 2273.81    | Profit: -38120.00  -1.649 % | Duration: 14 days 00:00:00
Buy date: 2022-04-03 | Buy price: 2115.58    | Sell date: 2022-05-01 | Sell price: 1973.31    | Profit: -142270.00 -6.725 % | Duration: 28 days 00:00:00
Buy date: 2022-07-24 | Buy price: 1620.13    | Sell date: 2022-09-18 | Sell price: 1534.68    | Profit: -85450.00  -5.274 % | Duration: 56 days 00:00:00
Buy date: 2022-10-30 | Buy price: 1411.62    | Sell date: 2023-02-19 | Sell price: 1848.04    | Profit: 436420.00  30.916 % | Duration: 112 days 00:00:00
Buy date: 2023-05-07 | Buy price: 1923.09    | Sell date: 2023-08-20 | Sell price: 2105.31    | Profit: 182220.00  9.475  % | Duration: 105 days 00:00:00
Buy date: 2023-11-05 | Buy price: 2103.73    | Sell date: 2024-01-21 | Sell price: 2248.58    | Profit: 144850.00  6.885  % | Duration: 77 days 00:00:00
Buy date: 2024-02-25 | Buy price: 2371.05    | Sell date: 2024-03-10 | Sell price: 2424.70    | Profit: 53650.00   2.263  % | Duration: 14 days 00:00:00
=========================================================================================================================================================
Total earnings: 3957030.0 generated using 2596160 units of borrowed capital, which needs to be returned
Return on Investment ROI: 52.419%


